,request_type,starting_time,ending_time,duration,data_size,mtu_size,conn_interval,data,read_requests,read_responses,notifies
0,WRITE_COMMAND Req,2021-06-07 13:08:41.922114,2021-06-07 13:08:41.922114,0,20,23,36,,0,0,0
1,WRITE_COMMAND Req,2021-06-07 13:08:41.922114,2021-06-07 13:08:41.978110,55996,20,23,36,,0,0,0
2,WRITE_COMMAND Rcvd,2021-06-07 13:08:41.978110,2021-06-07 13:08:41.978780,670,20,23,36,Data Size 20mnopqrstData Size 20mnopqrst,0,0,2
3,WRITE_COMMAND Req,2021-06-07 13:08:42.861066,2021-06-07 13:08:42.861066,0,20,23,36,,0,0,0
4,WRITE_COMMAND Req,2021-06-07 13:08:42.861066,2021-06-07 13:08:42.922957,61891,20,23,36,,0,0,0
5,WRITE_COMMAND Rcvd,2021-06-07 13:08:42.922957,2021-06-07 13:08:42.923585,628,20,23,36,Data Size 20mnopqrstData Size 20mnopqrst,0,0,2
6,WRITE_COMMAND Req,2021-06-07 13:08:43.548844,2021-06-07 13:08:43.548844,0,20,23,36,,0,0,0
7,WRITE_COMMAND Req,2021-06-07 13:08:43.548844,2021-06-07 13:08:43.598085,49241,20,23,36,,0,0,0
8,WRITE_COMMAND Rcvd,2021-06-07 13:08:43.598085,2021-06-07 13:08:43.599698,1613,20,23,36,Data Size 20mnopqrstData Size 20mnopqrst,0,0,2
9,WRITE_COMMAND Req,2021-06-07 13:08:49.032790,2021-06-07 13:08:49.032790,0,32,23,36,,0,0,0
10,WRITE_COMMAND Req,2021-06-07 13:08:49.032790,2021-06-07 13:08:49.087939,55149,32,23,36,,0,0,0
11,WRITE_COMMAND Rcvd,2021-06-07 13:08:49.087939,2021-06-07 13:08:49.092883,4944,32,23,36,Data Size 32mnopqrstData Size 32mnopqrstuvwxyzabcdefuvwxyzabcdef,0,0,4
12,WRITE_COMMAND Req,2021-06-07 13:08:49.886659,2021-06-07 13:08:49.886659,0,32,23,36,,0,0,0
13,WRITE_COMMAND Req,2021-06-07 13:08:49.886659,2021-06-07 13:08:49.943084,56425,32,23,36,,0,0,0
14,WRITE_COMMAND Rcvd,2021-06-07 13:08:49.943084,2021-06-07 13:08:49.944569,1485,32,23,36,Data Size 32mnopqrstData Size 32mnopqrstuvwxyzabcdefuvwxyzabcdef,0,0,4
15,WRITE_COMMAND Req,2021-06-07 13:08:52.534700,2021-06-07 13:08:52.534700,0,32,23,36,,0,0,0
16,WRITE_COMMAND Req,2021-06-07 13:08:52.534700,2021-06-07 13:08:52.597848,63148,32,23,36,,0,0,0
17,WRITE_COMMAND Rcvd,2021-06-07 13:08:52.597848,2021-06-07 13:08:52.644933,47085,32,23,36,Data Size 32mnopqrstData Size 32mnopqrstuvwxyzabcdefuvwxyzabcdef,0,0,4
18,WRITE_COMMAND Req,2021-06-07 13:09:02.766900,2021-06-07 13:09:02.766900,0,64,23,36,,0,0,0
19,WRITE_COMMAND Req,2021-06-07 13:09:02.766900,2021-06-07 13:09:02.858093,91193,64,23,36,,0,0,0
20,WRITE_COMMAND Rcvd,2021-06-07 13:09:02.858093,2021-06-07 13:09:02.860493,2400,64,23,36,Data Size 64mnopqrstData Size 64mnopqrstuvwxyzabcdefghijklmnuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghopqrstuvwxyzabcdefghijklijkl,0,0,8
21,WRITE_COMMAND Req,2021-06-07 13:09:03.918335,2021-06-07 13:09:03.918335,0,64,23,36,,0,0,0
22,WRITE_COMMAND Req,2021-06-07 13:09:03.918335,2021-06-07 13:09:03.982990,64655,64,23,36,,0,0,0
23,WRITE_COMMAND Rcvd,2021-06-07 13:09:03.982990,2021-06-07 13:09:03.986636,3646,64,23,36,Data Size 64mnopqrstData Size 64mnopqrstuvwxyzabcdefghijklmnuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghopqrstuvwxyzabcdefghijklijkl,0,0,8
24,WRITE_COMMAND Req,2021-06-07 13:09:05.122560,2021-06-07 13:09:05.122560,0,64,23,36,,0,0,0
25,WRITE_COMMAND Req,2021-06-07 13:09:05.122560,2021-06-07 13:09:05.242945,120385,64,23,36,,0,0,0
26,WRITE_COMMAND Rcvd,2021-06-07 13:09:05.242945,2021-06-07 13:09:05.245772,2827,64,23,36,Data Size 64mnopqrstData Size 64mnopqrstuvwxyzabcdefghijklmnuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghopqrstuvwxyzabcdefghijklijkl,0,0,8
27,WRITE_COMMAND Req,2021-06-07 13:09:10.826902,2021-06-07 13:09:10.826902,0,128,23,36,,0,0,0
28,WRITE_COMMAND Req,2021-06-07 13:09:10.826902,2021-06-07 13:09:10.913148,86246,128,23,36,,0,0,0
29,WRITE_COMMAND Rcvd,2021-06-07 13:09:10.913148,2021-06-07 13:09:10.917998,4850,128,23,36,Data Size 128nopqrstData Size 128nopqrstuvwxyzabcdefghijklmnuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabijklmnopqrstuvwxyzabcdefghijklmnopqrstuvcdefghijklmnopqrstuvwxyzabcdefghijklmnopwxyzabcdefghijklmnopqrstuvwxqrstuvwx,0,0,14
30,WRITE_COMMAND Req,2021-06-07 13:09:11.702322,2021-06-07 13:09:11.702322,0,128,23,36,,0,0,0
31,WRITE_COMMAND Req,2021-06-07 13:09:11.702322,2021-06-07 13:09:11.768282,65960,128,23,36,,0,0,0
