,request_type,starting_time,ending_time,duration,data_size,mtu_size,conn_interval,data,read_requests,read_responses,notifies
0,READ Req,2021-05-25 16:39:09.256856837,2021-05-25 16:39:09.302085537,45228,20,23,36,Data Size 20mnopqrst,1,1,0
1,READ Req,2021-05-25 16:39:10.471865437,2021-05-25 16:39:10.517093337,45227,20,23,36,Data Size 20mnopqrst,1,1,0
2,READ Req,2021-05-25 16:39:11.596887637,2021-05-25 16:39:11.642117137,45229,20,23,36,Data Size 20mnopqrst,1,1,0
3,READ Req,2021-05-25 16:39:17.896986037,2021-05-25 16:39:18.032214937,135228,32,23,36,Data Size 32mnopqrstuvwxyzabcdef,2,2,0
4,READ Req,2021-05-25 16:39:18.797005437,2021-05-25 16:39:18.932236937,135231,32,23,36,Data Size 32mnopqrstuvwxyzabcdef,2,2,0
5,READ Req,2021-05-25 16:39:19.697022237,2021-05-25 16:39:19.742252237,45230,32,23,36,Data Size 32mnopqrstuv,1,1,0
6,READ Req,2021-05-25 16:39:25.862072037,2021-05-25 16:39:26.177302837,315230,64,23,36,Data Size 64mnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijkl,3,3,0
7,READ Req,2021-05-25 16:39:26.852078737,2021-05-25 16:39:26.897308237,45229,64,23,36,Data Size 64mnopqrstuv,1,1,0
8,READ Req,2021-05-25 16:39:27.797097437,2021-05-25 16:39:28.067330537,270233,64,23,36,Data Size 64mnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijkl,3,3,0
9,READ Req,2021-05-25 16:39:35.987185737,2021-05-25 16:39:36.482420337,495234,128,23,36,Data Size 128nopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwx,6,6,0
10,READ Req,2021-05-25 16:39:37.112197737,2021-05-25 16:39:37.157426337,45228,128,23,36,Data Size 128nopqrstuv,1,1,0
11,READ Req,2021-05-25 16:39:44.042294837,2021-05-25 16:39:44.087523737,45228,256,23,36,Data Size 256nopqrstuv,1,1,0
12,READ Req,2021-05-25 16:39:45.887314537,2021-05-25 16:39:46.112543337,225228,256,23,36,Data Size 256nopqrstuvstuvwxyzabcdefghijklmn,2,2,0
13,READ Req,2021-05-25 16:39:47.777318337,2021-05-25 16:39:48.407559537,630241,256,23,36,Data Size 256nopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwx,7,7,0
14,READ Req,2021-05-25 16:39:56.777427137,2021-05-25 16:39:57.092658237,315231,512,23,36,Data Size 512nopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghij,4,4,0
15,READ Req,2021-05-25 16:40:02.762472037,2021-05-25 16:40:03.077700937,315228,512,23,36,Data Size 512nopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghij,4,4,0
16,READ Req,2021-05-25 16:40:24.632713737,2021-05-25 16:40:24.677943737,45230,20,32,36,Data Size 20mnopqrst,1,1,0
17,READ Req,2021-05-25 16:40:26.072731837,2021-05-25 16:40:26.117960937,45229,20,32,36,Data Size 20mnopqrst,1,1,0
18,READ Req,2021-05-25 16:40:27.107737037,2021-05-25 16:40:27.152965537,45228,20,32,36,Data Size 20mnopqrst,1,1,0
19,READ Req,2021-05-25 16:40:32.282786637,2021-05-25 16:40:32.418016437,135229,32,32,36,Daf,2,2,0
20,READ Req,2021-05-25 16:40:33.632811637,2021-05-25 16:40:33.768040937,135229,32,32,36,Daf,2,2,0
21,READ Req,2021-05-25 16:40:34.892821237,2021-05-25 16:40:35.028050737,135229,32,32,36,Daf,2,2,0
22,READ Req,2021-05-25 16:40:40.472879837,2021-05-25 16:40:40.698111537,225231,32,32,36,Dafgkl,3,3,0
23,READ Req,2021-05-25 16:40:41.417895337,2021-05-25 16:40:41.643128037,225232,32,32,36,Dafgkl,3,3,0
24,READ Req,2021-05-25 16:40:42.362918937,2021-05-25 16:40:42.588150437,225231,32,32,36,Dafgkl,3,3,0
25,READ Req,2021-05-25 16:40:48.978054737,2021-05-25 16:40:49.113285637,135230,128,32,36,Dafg,2,2,0
26,READ Req,2021-05-25 16:40:50.508077537,2021-05-25 16:40:50.823307837,315230,128,32,36,Dafgklpq,4,4,0
27,READ Req,2021-05-25 16:40:51.678085237,2021-05-25 16:40:52.083317837,405232,128,32,36,Dafgklpquvwx,5,5,0
28,READ Req,2021-05-25 16:41:06.033285937,2021-05-25 16:41:06.078515437,45229,256,32,36,Da,1,1,0
29,READ Req,2021-05-25 16:41:09.633322337,2021-05-25 16:41:09.678551237,45228,256,32,36,Da,1,1,0
30,READ Req,2021-05-25 16:41:17.913408637,2021-05-25 16:41:18.363646337,450237,512,32,36,Dafgklpquv,5,5,0
31,READ Req,2021-05-25 16:41:20.388436237,2021-05-25 16:41:21.378658137,990221,512,32,36,Dafgfgklpquvzaefjkoptuyz,12,12,0
32,READ Req,2021-05-25 16:41:23.268455537,2021-05-25 16:41:23.403683537,135228,512,32,36,Dafg,2,2,0
33,READ Req,2021-05-25 16:41:36.093633237,2021-05-25 16:41:36.138862437,45229,20,64,36,Data Size 20mnopqrst,1,1,0
34,READ Req,2021-05-25 16:41:37.173641037,2021-05-25 16:41:37.218870537,45229,20,64,36,Data Size 20mnopqrst,1,1,0
35,READ Req,2021-05-25 16:41:38.028646537,2021-05-25 16:41:38.073876437,45229,20,64,36,Data Size 20mnopqrst,1,1,0
36,READ Req,2021-05-25 16:41:44.148728837,2021-05-25 16:41:44.193957937,45229,32,64,36,Dat,1,1,0
37,READ Req,2021-05-25 16:41:44.913748337,2021-05-25 16:41:44.958978637,45230,32,64,36,Dat,1,1,0
38,READ Req,2021-05-25 16:41:49.773804237,2021-05-25 16:41:49.909039837,135235,64,64,36,Dal,2,2,0
39,READ Req,2021-05-25 16:41:50.583826237,2021-05-25 16:41:50.719056837,135230,64,64,36,Dal,2,2,0
40,READ Req,2021-05-25 16:41:51.393840437,2021-05-25 16:41:51.529073637,135233,64,64,36,Dal,2,2,0
