"No.","Time","Source","Destination","Protocol","Length","Request in Frame","RF Channel","Opcode","Value","Handle","Info","Time.1","UUID"
"1","0.000000","host","controller","HCI_CMD","4","","","","","","Sent Reset","2021-06-07 12:08:16,779417",""
"2","0.002742","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Reset)","2021-06-07 12:08:16,782159",""
"3","0.003261","host","controller","HCI_CMD","4","","","","","","Sent Read Buffer Size","2021-06-07 12:08:16,782678",""
"4","0.004447","controller","host","HCI_EVT","14","","","","","","Rcvd Command Complete (Read Buffer Size)","2021-06-07 12:08:16,783864",""
"5","0.004770","host","controller","HCI_CMD","11","","","","","","Sent Host Buffer Size","2021-06-07 12:08:16,784187",""
"6","0.006899","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Host Buffer Size)","2021-06-07 12:08:16,786316",""
"7","0.007429","host","controller","HCI_CMD","4","","","","","","Sent Read Local Version Information","2021-06-07 12:08:16,786846",""
"8","0.008327","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (Read Local Version Information)","2021-06-07 12:08:16,787744",""
"9","0.008516","host","controller","HCI_CMD","4","","","","","","Sent Read BD ADDR","2021-06-07 12:08:16,787933",""
"10","0.009835","controller","host","HCI_EVT","13","","","","","","Rcvd Command Complete (Read BD ADDR)","2021-06-07 12:08:16,789252",""
"11","0.010042","host","controller","HCI_CMD","4","","","","","","Sent Read Local Supported Commands","2021-06-07 12:08:16,789459",""
"12","0.011447","controller","host","HCI_EVT","71","","","","","","Rcvd Command Complete (Read Local Supported Commands)","2021-06-07 12:08:16,790864",""
"13","0.011630","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-07 12:08:16,791047",""
"14","0.012996","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-07 12:08:16,792413",""
"15","0.013112","host","controller","HCI_CMD","5","","","","","","Sent Write Simple Pairing Mode","2021-06-07 12:08:16,792529",""
"16","0.067692","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Simple Pairing Mode)","2021-06-07 12:08:16,847109",""
"17","0.068254","host","controller","HCI_CMD","6","","","","","","Sent Write LE Host Supported","2021-06-07 12:08:16,847671",""
"18","0.069377","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write LE Host Supported)","2021-06-07 12:08:16,848794",""
"19","0.069550","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-07 12:08:16,848967",""
"20","0.070772","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-07 12:08:16,850189",""
"21","0.070978","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-07 12:08:16,850395",""
"22","0.072425","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-07 12:08:16,851842",""
"23","0.072846","host","controller","HCI_CMD","5","","","","","","Sent Write Secure Connections Host Support","2021-06-07 12:08:16,852263",""
"24","0.074673","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Secure Connections Host Support)","2021-06-07 12:08:16,854090",""
"25","0.075235","host","controller","HCI_CMD","4","","","","","","Sent LE Read White List Size","2021-06-07 12:08:16,854652",""
"26","0.077327","controller","host","HCI_EVT","8","","","","","","Rcvd Command Complete (LE Read White List Size)","2021-06-07 12:08:16,856744",""
"27","0.077813","host","controller","HCI_CMD","4","","","","","","Sent LE Read Buffer Size [v1]","2021-06-07 12:08:16,857230",""
"28","0.079362","controller","host","HCI_EVT","10","","","","","","Rcvd Command Complete (LE Read Buffer Size [v1])","2021-06-07 12:08:16,858779",""
"29","0.079752","host","controller","HCI_CMD","4","","","","","","Sent LE Read Supported States","2021-06-07 12:08:16,859169",""
"30","0.081069","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Supported States)","2021-06-07 12:08:16,860486",""
"31","0.081358","host","controller","HCI_CMD","4","","","","","","Sent LE Read Local Supported Features","2021-06-07 12:08:16,860775",""
"32","0.083606","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Local Supported Features)","2021-06-07 12:08:16,863023",""
"33","0.084102","host","controller","HCI_CMD","4","","","","","","Sent LE Read Resolving List Size","2021-06-07 12:08:16,863519",""
"34","0.085981","controller","host","HCI_EVT","8","","","","","","Rcvd Command Complete (LE Read Resolving List Size)","2021-06-07 12:08:16,865398",""
"35","0.086355","host","controller","HCI_CMD","4","","","","","","Sent LE Read Maximum Data Length","2021-06-07 12:08:16,865772",""
"36","0.087559","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Maximum Data Length)","2021-06-07 12:08:16,866976",""
