"No.","Time","Source","Destination","Protocol","Length","Request in Frame","RF Channel","Opcode","Value","Handle","Info","Time.1","UUID"
"1","0.000000000","88.221.60.168","192.168.143.64","TLSv1.2","92","","","","","","Application Data","2021-05-25 15:38:25,659317240",""
"2","0.000058937","192.168.143.64","88.221.60.168","TCP","66","","","","","","42802  >  443 [ACK] Seq=1 Ack=25 Win=501 Len=0 TSval=2168518977 TSecr=3585816019","2021-05-25 15:38:25,659376177",""
"3","0.000000449","88.221.60.168","192.168.143.64","TCP","68","","","","","","443  >  42802 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0 TSval=3585816019 TSecr=2168499103","2021-05-25 15:38:25,659317689",""
"4","3.866739397","48:a5:89:1e:a8:97","Broadcast","LE LL","43","","0","","","","ADV_IND","2021-05-25 15:38:29,526056637",""
"5","0.000321835","192.168.143.64","88.221.60.168","TCP","66","","","","","","42802  >  443 [FIN, ACK] Seq=1 Ack=26 Win=501 Len=0 TSval=2168518978 TSecr=3585816019","2021-05-25 15:38:25,659639075",""
"6","0.039649098","88.221.60.168","192.168.143.64","TCP","68","","","","","","443  >  42802 [ACK] Seq=26 Ack=2 Win=501 Len=0 TSval=3585816052 TSecr=2168518978","2021-05-25 15:38:25,698966338",""
"7","2.111599871","192.168.143.64","157.245.213.92","TCP","66","","","","","","54940  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=776880988 TSecr=2430547090","2021-05-25 15:38:27,770917111",""
"8","2.229808473","157.245.213.92","192.168.143.64","TCP","68","","","","","","[TCP ACKed unseen segment] 443  >  54940 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=2430593165 TSecr=776740157","2021-05-25 15:38:27,889125713",""
"9","3.886458097","d5:d9:72:45:a9:23","Broadcast","LE LL","42","","0","","","","ADV_IND[Malformed Packet]","2021-05-25 15:38:29,545775337",""
"10","3.886851897","3c:b8:40:8c:7d:d5","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-25 15:38:29,546169137",""
"11","3.893265597","5e:90:cb:cc:af:56","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-25 15:38:29,552582837",""
"12","3.897800997","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-25 15:38:29,557118237",""
"13","3.907355297","48:05:f0:1f:99:6a","Broadcast","LE LL","63","","0","","","","ADV_IND[Malformed Packet]","2021-05-25 15:38:29,566672537",""
"14","3.937801497","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-25 15:38:29,597118737",""
"15","3.939883297","47:b4:20:d1:02:78","Broadcast","LE LL","43","","0","","","","ADV_IND","2021-05-25 15:38:29,599200537",""
"16","3.942833297","1b:15:09:23:36:c0","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-25 15:38:29,602150537",""
"17","3.982802497","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-25 15:38:29,642119737",""
"18","3.983296197","4b:06:68:ac:c8:a7","Espressi_60:ef:3a","LE LL","31","","0","","","","SCAN_REQ","2021-05-25 15:38:29,642613437",""
"19","3.983620397","Espressi_60:ef:3a","Broadcast","LE LL","55","","0","","","","SCAN_RSP","2021-05-25 15:38:29,642937637",""
"20","3.998268397","5e:90:cb:cc:af:56","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-25 15:38:29,657585637",""
"21","4.013570597","c8:05:fc:0d:59:6b","84:fd:30:31:67:8d","LE LL","31","","0","","","","SCAN_REQ","2021-05-25 15:38:29,672887837",""
