"No.","Time","Source","Destination","Protocol","Length","Request in Frame","RF Channel","Opcode","Value","Handle","Info","Time.1","UUID"
"1","0.000000","host","controller","HCI_CMD","4","","","","","","Sent Reset","2021-06-08 14:36:25,940723",""
"2","0.002668","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Reset)","2021-06-08 14:36:25,943391",""
"3","0.003093","host","controller","HCI_CMD","4","","","","","","Sent Read Buffer Size","2021-06-08 14:36:25,943816",""
"4","0.003977","controller","host","HCI_EVT","14","","","","","","Rcvd Command Complete (Read Buffer Size)","2021-06-08 14:36:25,944700",""
"5","0.004327","host","controller","HCI_CMD","11","","","","","","Sent Host Buffer Size","2021-06-08 14:36:25,945050",""
"6","0.005411","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Host Buffer Size)","2021-06-08 14:36:25,946134",""
"7","0.005604","host","controller","HCI_CMD","4","","","","","","Sent Read Local Version Information","2021-06-08 14:36:25,946327",""
"8","0.006653","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (Read Local Version Information)","2021-06-08 14:36:25,947376",""
"9","0.006771","host","controller","HCI_CMD","4","","","","","","Sent Read BD ADDR","2021-06-08 14:36:25,947494",""
"10","0.007865","controller","host","HCI_EVT","13","","","","","","Rcvd Command Complete (Read BD ADDR)","2021-06-08 14:36:25,948588",""
"11","0.007974","host","controller","HCI_CMD","4","","","","","","Sent Read Local Supported Commands","2021-06-08 14:36:25,948697",""
"12","0.008903","controller","host","HCI_EVT","71","","","","","","Rcvd Command Complete (Read Local Supported Commands)","2021-06-08 14:36:25,949626",""
"13","0.009041","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-08 14:36:25,949764",""
"14","0.010045","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-08 14:36:25,950768",""
"15","0.010136","host","controller","HCI_CMD","5","","","","","","Sent Write Simple Pairing Mode","2021-06-08 14:36:25,950859",""
"16","0.063460","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Simple Pairing Mode)","2021-06-08 14:36:26,004183",""
"17","0.063991","host","controller","HCI_CMD","6","","","","","","Sent Write LE Host Supported","2021-06-08 14:36:26,004714",""
"18","0.066099","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write LE Host Supported)","2021-06-08 14:36:26,006822",""
"19","0.066571","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-08 14:36:26,007294",""
"20","0.067424","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-08 14:36:26,008147",""
"21","0.067590","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-08 14:36:26,008313",""
"22","0.068307","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-08 14:36:26,009030",""
"23","0.068462","host","controller","HCI_CMD","5","","","","","","Sent Write Secure Connections Host Support","2021-06-08 14:36:26,009185",""
"24","0.069407","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Secure Connections Host Support)","2021-06-08 14:36:26,010130",""
"25","0.069569","host","controller","HCI_CMD","4","","","","","","Sent LE Read White List Size","2021-06-08 14:36:26,010292",""
"26","0.070646","controller","host","HCI_EVT","8","","","","","","Rcvd Command Complete (LE Read White List Size)","2021-06-08 14:36:26,011369",""
"27","0.070842","host","controller","HCI_CMD","4","","","","","","Sent LE Read Buffer Size [v1]","2021-06-08 14:36:26,011565",""
"28","0.071951","controller","host","HCI_EVT","10","","","","","","Rcvd Command Complete (LE Read Buffer Size [v1])","2021-06-08 14:36:26,012674",""
"29","0.072228","host","controller","HCI_CMD","4","","","","","","Sent LE Read Supported States","2021-06-08 14:36:26,012951",""
"30","0.073437","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Supported States)","2021-06-08 14:36:26,014160",""
"31","0.073677","host","controller","HCI_CMD","4","","","","","","Sent LE Read Local Supported Features","2021-06-08 14:36:26,014400",""
"32","0.074809","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Local Supported Features)","2021-06-08 14:36:26,015532",""
"33","0.075035","host","controller","HCI_CMD","4","","","","","","Sent LE Read Resolving List Size","2021-06-08 14:36:26,015758",""
"34","0.075947","controller","host","HCI_EVT","8","","","","","","Rcvd Command Complete (LE Read Resolving List Size)","2021-06-08 14:36:26,016670",""
"35","0.076369","host","controller","HCI_CMD","4","","","","","","Sent LE Read Maximum Data Length","2021-06-08 14:36:26,017092",""
"36","0.077769","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Maximum Data Length)","2021-06-08 14:36:26,018492",""
"37","0.078176","host","controller","HCI_CMD","4","","","","","","Sent LE Read Suggested Default Data Length","2021-06-08 14:36:26,018899",""
"38","0.079032","controller","host","HCI_EVT","11","","","","","","Rcvd Command Complete (LE Read Suggested Default Data Length)","2021-06-08 14:36:26,019755",""
"39","0.079351","host","controller","HCI_CMD","12","","","","","","Sent LE Set Event Mask","2021-06-08 14:36:26,020074",""
"40","0.080526","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Set Event Mask)","2021-06-08 14:36:26,021249",""
"41","0.081005","host","controller","HCI_CMD","12","","","","","","Sent Set Event Mask","2021-06-08 14:36:26,021728",""
"42","0.082682","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Set Event Mask)","2021-06-08 14:36:26,023405",""
"43","0.083179","host","controller","HCI_CMD","4","","","","","","Sent Read Local Supported Codecs","2021-06-08 14:36:26,023902",""
"44","0.084236","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (Read Local Supported Codecs)","2021-06-08 14:36:26,024959",""
"45","0.085482","host","controller","HCI_CMD","4","","","","","","Sent LE Clear Resolving List","2021-06-08 14:36:26,026205",""
"46","0.087197","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Clear Resolving List)","2021-06-08 14:36:26,027920",""
"47","0.087484","host","controller","HCI_CMD","6","","","","","","Sent LE Set Resolvable Private Address Timeout","2021-06-08 14:36:26,028207",""
"48","0.092659","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Set Resolvable Private Address Timeout)","2021-06-08 14:36:26,033382",""
"49","0.092959","host","controller","HCI_CMD","5","","","","","","Sent Write Inquiry Mode","2021-06-08 14:36:26,033682",""
"50","0.095219","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Inquiry Mode)","2021-06-08 14:36:26,035942",""
"51","0.095547","host","controller","HCI_CMD","5","","","","","","Sent Write Page Scan Type","2021-06-08 14:36:26,036270",""
