"No.","Time","Source","Destination","Protocol","Length","Request in Frame","RF Channel","Opcode","Value","Handle","Info","Time.1","UUID"
"1","0.000000","host","controller","HCI_CMD","4","","","","","","Sent Reset","2021-06-07 14:05:09,970216",""
"2","0.002463","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Reset)","2021-06-07 14:05:09,972679",""
"3","0.002883","host","controller","HCI_CMD","4","","","","","","Sent Read Buffer Size","2021-06-07 14:05:09,973099",""
"4","0.006051","controller","host","HCI_EVT","14","","","","","","Rcvd Command Complete (Read Buffer Size)","2021-06-07 14:05:09,976267",""
"5","0.006480","host","controller","HCI_CMD","11","","","","","","Sent Host Buffer Size","2021-06-07 14:05:09,976696",""
"6","0.008503","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Host Buffer Size)","2021-06-07 14:05:09,978719",""
"7","0.008999","host","controller","HCI_CMD","4","","","","","","Sent Read Local Version Information","2021-06-07 14:05:09,979215",""
"8","0.010322","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (Read Local Version Information)","2021-06-07 14:05:09,980538",""
"9","0.010552","host","controller","HCI_CMD","4","","","","","","Sent Read BD ADDR","2021-06-07 14:05:09,980768",""
"10","0.011295","controller","host","HCI_EVT","13","","","","","","Rcvd Command Complete (Read BD ADDR)","2021-06-07 14:05:09,981511",""
"11","0.011456","host","controller","HCI_CMD","4","","","","","","Sent Read Local Supported Commands","2021-06-07 14:05:09,981672",""
"12","0.012705","controller","host","HCI_EVT","71","","","","","","Rcvd Command Complete (Read Local Supported Commands)","2021-06-07 14:05:09,982921",""
"13","0.013009","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-07 14:05:09,983225",""
"14","0.013895","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-07 14:05:09,984111",""
"15","0.014177","host","controller","HCI_CMD","5","","","","","","Sent Write Simple Pairing Mode","2021-06-07 14:05:09,984393",""
"16","0.070654","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Simple Pairing Mode)","2021-06-07 14:05:10,040870",""
"17","0.071257","host","controller","HCI_CMD","6","","","","","","Sent Write LE Host Supported","2021-06-07 14:05:10,041473",""
"18","0.072384","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write LE Host Supported)","2021-06-07 14:05:10,042600",""
"19","0.072664","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-07 14:05:10,042880",""
"20","0.074352","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-07 14:05:10,044568",""
"21","0.074732","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-07 14:05:10,044948",""
"22","0.076800","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-07 14:05:10,047016",""
"23","0.077195","host","controller","HCI_CMD","5","","","","","","Sent Write Secure Connections Host Support","2021-06-07 14:05:10,047411",""
"24","0.079553","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Secure Connections Host Support)","2021-06-07 14:05:10,049769",""
"25","0.079975","host","controller","HCI_CMD","4","","","","","","Sent LE Read White List Size","2021-06-07 14:05:10,050191",""
"26","0.082288","controller","host","HCI_EVT","8","","","","","","Rcvd Command Complete (LE Read White List Size)","2021-06-07 14:05:10,052504",""
"27","0.082722","host","controller","HCI_CMD","4","","","","","","Sent LE Read Buffer Size [v1]","2021-06-07 14:05:10,052938",""
"28","0.084224","controller","host","HCI_EVT","10","","","","","","Rcvd Command Complete (LE Read Buffer Size [v1])","2021-06-07 14:05:10,054440",""
"29","0.084633","host","controller","HCI_CMD","4","","","","","","Sent LE Read Supported States","2021-06-07 14:05:10,054849",""
"30","0.086024","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Supported States)","2021-06-07 14:05:10,056240",""
"31","0.086407","host","controller","HCI_CMD","4","","","","","","Sent LE Read Local Supported Features","2021-06-07 14:05:10,056623",""
"32","0.087872","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Local Supported Features)","2021-06-07 14:05:10,058088",""
