"No.","Time","Source","Destination","Protocol","Length","Request in Frame","RF Channel","Opcode","Value","Handle","Info","Time.1","UUID"
"1","0.000000","host","controller","HCI_CMD","4","","","","","","Sent Reset","2021-06-08 16:22:30,897469",""
"2","0.002513","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Reset)","2021-06-08 16:22:30,899982",""
"3","0.002730","host","controller","HCI_CMD","4","","","","","","Sent Read Buffer Size","2021-06-08 16:22:30,900199",""
"4","0.003721","controller","host","HCI_EVT","14","","","","","","Rcvd Command Complete (Read Buffer Size)","2021-06-08 16:22:30,901190",""
"5","0.003849","host","controller","HCI_CMD","11","","","","","","Sent Host Buffer Size","2021-06-08 16:22:30,901318",""
"6","0.004450","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Host Buffer Size)","2021-06-08 16:22:30,901919",""
"7","0.004543","host","controller","HCI_CMD","4","","","","","","Sent Read Local Version Information","2021-06-08 16:22:30,902012",""
"8","0.005137","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (Read Local Version Information)","2021-06-08 16:22:30,902606",""
"9","0.005248","host","controller","HCI_CMD","4","","","","","","Sent Read BD ADDR","2021-06-08 16:22:30,902717",""
"10","0.006203","controller","host","HCI_EVT","13","","","","","","Rcvd Command Complete (Read BD ADDR)","2021-06-08 16:22:30,903672",""
"11","0.006320","host","controller","HCI_CMD","4","","","","","","Sent Read Local Supported Commands","2021-06-08 16:22:30,903789",""
"12","0.007178","controller","host","HCI_EVT","71","","","","","","Rcvd Command Complete (Read Local Supported Commands)","2021-06-08 16:22:30,904647",""
"13","0.007272","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-08 16:22:30,904741",""
"14","0.007903","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-08 16:22:30,905372",""
"15","0.008015","host","controller","HCI_CMD","5","","","","","","Sent Write Simple Pairing Mode","2021-06-08 16:22:30,905484",""
"16","0.061986","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Simple Pairing Mode)","2021-06-08 16:22:30,959455",""
"17","0.062462","host","controller","HCI_CMD","6","","","","","","Sent Write LE Host Supported","2021-06-08 16:22:30,959931",""
"18","0.063705","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write LE Host Supported)","2021-06-08 16:22:30,961174",""
"19","0.064110","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-08 16:22:30,961579",""
"20","0.065044","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-08 16:22:30,962513",""
"21","0.065150","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-08 16:22:30,962619",""
"22","0.065915","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-08 16:22:30,963384",""
"23","0.066005","host","controller","HCI_CMD","5","","","","","","Sent Write Secure Connections Host Support","2021-06-08 16:22:30,963474",""
"24","0.066824","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Secure Connections Host Support)","2021-06-08 16:22:30,964293",""
"25","0.066923","host","controller","HCI_CMD","4","","","","","","Sent LE Read White List Size","2021-06-08 16:22:30,964392",""
"26","0.067777","controller","host","HCI_EVT","8","","","","","","Rcvd Command Complete (LE Read White List Size)","2021-06-08 16:22:30,965246",""
"27","0.067920","host","controller","HCI_CMD","4","","","","","","Sent LE Read Buffer Size [v1]","2021-06-08 16:22:30,965389",""
"28","0.069404","controller","host","HCI_EVT","10","","","","","","Rcvd Command Complete (LE Read Buffer Size [v1])","2021-06-08 16:22:30,966873",""
"29","0.069807","host","controller","HCI_CMD","4","","","","","","Sent LE Read Supported States","2021-06-08 16:22:30,967276",""
"30","0.071066","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Supported States)","2021-06-08 16:22:30,968535",""
"31","0.071340","host","controller","HCI_CMD","4","","","","","","Sent LE Read Local Supported Features","2021-06-08 16:22:30,968809",""
"32","0.073063","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Local Supported Features)","2021-06-08 16:22:30,970532",""
"33","0.073397","host","controller","HCI_CMD","4","","","","","","Sent LE Read Resolving List Size","2021-06-08 16:22:30,970866",""
"34","0.074360","controller","host","HCI_EVT","8","","","","","","Rcvd Command Complete (LE Read Resolving List Size)","2021-06-08 16:22:30,971829",""
"35","0.074643","host","controller","HCI_CMD","4","","","","","","Sent LE Read Maximum Data Length","2021-06-08 16:22:30,972112",""
"36","0.075673","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Maximum Data Length)","2021-06-08 16:22:30,973142",""
"37","0.075922","host","controller","HCI_CMD","4","","","","","","Sent LE Read Suggested Default Data Length","2021-06-08 16:22:30,973391",""
"38","0.076767","controller","host","HCI_EVT","11","","","","","","Rcvd Command Complete (LE Read Suggested Default Data Length)","2021-06-08 16:22:30,974236",""
"39","0.077300","host","controller","HCI_CMD","12","","","","","","Sent LE Set Event Mask","2021-06-08 16:22:30,974769",""
"40","0.078485","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Set Event Mask)","2021-06-08 16:22:30,975954",""
"41","0.078970","host","controller","HCI_CMD","12","","","","","","Sent Set Event Mask","2021-06-08 16:22:30,976439",""
"42","0.079887","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Set Event Mask)","2021-06-08 16:22:30,977356",""
"43","0.080413","host","controller","HCI_CMD","4","","","","","","Sent Read Local Supported Codecs","2021-06-08 16:22:30,977882",""
"44","0.081822","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (Read Local Supported Codecs)","2021-06-08 16:22:30,979291",""
"45","0.083847","host","controller","HCI_CMD","4","","","","","","Sent LE Clear Resolving List","2021-06-08 16:22:30,981316",""
"46","0.085568","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Clear Resolving List)","2021-06-08 16:22:30,983037",""
"47","0.085774","host","controller","HCI_CMD","6","","","","","","Sent LE Set Resolvable Private Address Timeout","2021-06-08 16:22:30,983243",""
"48","0.086725","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Set Resolvable Private Address Timeout)","2021-06-08 16:22:30,984194",""
"49","0.086864","host","controller","HCI_CMD","5","","","","","","Sent Write Inquiry Mode","2021-06-08 16:22:30,984333",""
"50","0.087743","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Inquiry Mode)","2021-06-08 16:22:30,985212",""
"51","0.088182","host","controller","HCI_CMD","5","","","","","","Sent Write Page Scan Type","2021-06-08 16:22:30,985651",""
"52","0.089864","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Page Scan Type)","2021-06-08 16:22:30,987333",""
"53","0.090224","host","controller","HCI_CMD","5","","","","","","Sent Write Inquiry Scan Type","2021-06-08 16:22:30,987693",""
"54","0.092789","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Inquiry Scan Type)","2021-06-08 16:22:30,990258",""
"55","0.093148","host","controller","HCI_CMD","7","","","","","","Sent Write Class of Device","2021-06-08 16:22:30,990617",""
"56","0.094616","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Class of Device)","2021-06-08 16:22:30,992085",""
"57","0.094785","host","controller","HCI_CMD","6","","","","","","Sent Write Page Timeout","2021-06-08 16:22:30,992254",""
"58","0.096352","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Page Timeout)","2021-06-08 16:22:30,993821",""
"59","0.096520","host","controller","HCI_CMD","6","","","","","","Sent Write Default Link Policy Settings","2021-06-08 16:22:30,993989",""
"60","0.097445","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Default Link Policy Settings)","2021-06-08 16:22:30,994914",""
"61","0.097584","host","controller","HCI_CMD_BROADCOM","4","","","","","","Sent Broadcom LE Get Vendor Capabilities","2021-06-08 16:22:30,995053",""
"62","0.098910","controller","host","HCI_EVT_BROADCOM","21","","","","","","Rcvd Broadcom Command Complete (LE Get Vendor Capabilities)","2021-06-08 16:22:30,996379",""
"63","0.099053","host","controller","HCI_CMD","4","","","","","","Sent Read Local Name","2021-06-08 16:22:30,996522",""
"64","0.101014","controller","host","HCI_EVT","255","","","","","","Rcvd Command Complete (Read Local Name)","2021-06-08 16:22:30,998483",""
"65","0.105543","host","controller","HCI_CMD","252","","","","","","Sent Change Local Name","2021-06-08 16:22:31,003012",""
