"No.","Time","Source","Destination","Protocol","Length","Request in Frame","RF Channel","Opcode","Value","Handle","Info","Time.1","UUID"
"1","0.000000","host","controller","HCI_CMD","4","","","","","","Sent Reset","2021-06-08 15:45:31,844180",""
"2","0.002514","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Reset)","2021-06-08 15:45:31,846694",""
"3","0.002952","host","controller","HCI_CMD","4","","","","","","Sent Read Buffer Size","2021-06-08 15:45:31,847132",""
"4","0.003842","controller","host","HCI_EVT","14","","","","","","Rcvd Command Complete (Read Buffer Size)","2021-06-08 15:45:31,848022",""
"5","0.004052","host","controller","HCI_CMD","11","","","","","","Sent Host Buffer Size","2021-06-08 15:45:31,848232",""
"6","0.005770","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Host Buffer Size)","2021-06-08 15:45:31,849950",""
"7","0.006112","host","controller","HCI_CMD","4","","","","","","Sent Read Local Version Information","2021-06-08 15:45:31,850292",""
"8","0.007042","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (Read Local Version Information)","2021-06-08 15:45:31,851222",""
"9","0.007299","host","controller","HCI_CMD","4","","","","","","Sent Read BD ADDR","2021-06-08 15:45:31,851479",""
"10","0.008410","controller","host","HCI_EVT","13","","","","","","Rcvd Command Complete (Read BD ADDR)","2021-06-08 15:45:31,852590",""
"11","0.008730","host","controller","HCI_CMD","4","","","","","","Sent Read Local Supported Commands","2021-06-08 15:45:31,852910",""
"12","0.010175","controller","host","HCI_EVT","71","","","","","","Rcvd Command Complete (Read Local Supported Commands)","2021-06-08 15:45:31,854355",""
"13","0.010517","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-08 15:45:31,854697",""
"14","0.011385","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-08 15:45:31,855565",""
"15","0.011566","host","controller","HCI_CMD","5","","","","","","Sent Write Simple Pairing Mode","2021-06-08 15:45:31,855746",""
"16","0.065452","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Simple Pairing Mode)","2021-06-08 15:45:31,909632",""
"17","0.065953","host","controller","HCI_CMD","6","","","","","","Sent Write LE Host Supported","2021-06-08 15:45:31,910133",""
"18","0.067454","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write LE Host Supported)","2021-06-08 15:45:31,911634",""
"19","0.067609","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-08 15:45:31,911789",""
"20","0.068627","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-08 15:45:31,912807",""
"21","0.068865","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-08 15:45:31,913045",""
"22","0.069867","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-08 15:45:31,914047",""
"23","0.069974","host","controller","HCI_CMD","5","","","","","","Sent Write Secure Connections Host Support","2021-06-08 15:45:31,914154",""
"24","0.071395","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Secure Connections Host Support)","2021-06-08 15:45:31,915575",""
"25","0.071753","host","controller","HCI_CMD","4","","","","","","Sent LE Read White List Size","2021-06-08 15:45:31,915933",""
"26","0.073120","controller","host","HCI_EVT","8","","","","","","Rcvd Command Complete (LE Read White List Size)","2021-06-08 15:45:31,917300",""
"27","0.073475","host","controller","HCI_CMD","4","","","","","","Sent LE Read Buffer Size [v1]","2021-06-08 15:45:31,917655",""
"28","0.074790","controller","host","HCI_EVT","10","","","","","","Rcvd Command Complete (LE Read Buffer Size [v1])","2021-06-08 15:45:31,918970",""
"29","0.075102","host","controller","HCI_CMD","4","","","","","","Sent LE Read Supported States","2021-06-08 15:45:31,919282",""
"30","0.076270","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Supported States)","2021-06-08 15:45:31,920450",""
"31","0.076604","host","controller","HCI_CMD","4","","","","","","Sent LE Read Local Supported Features","2021-06-08 15:45:31,920784",""
"32","0.077614","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Read Local Supported Features)","2021-06-08 15:45:31,921794",""
"33","0.077882","host","controller","HCI_CMD","4","","","","","","Sent LE Read Resolving List Size","2021-06-08 15:45:31,922062",""
"34","0.078966","controller","host","HCI_EVT","8","","","","","","Rcvd Command Complete (LE Read Resolving List Size)","2021-06-08 15:45:31,923146",""
