"No.","Time","Source","Destination","Protocol","Length","Request in Frame","RF Channel","Opcode","Value","Handle","Info","Time.1","UUID"
"1","0.000000","host","controller","HCI_CMD","4","","","","","","Sent Reset","2021-06-12 10:32:55,952025",""
"2","0.002493","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Reset)","2021-06-12 10:32:55,954518",""
"3","0.002881","host","controller","HCI_CMD","4","","","","","","Sent Read Buffer Size","2021-06-12 10:32:55,954906",""
"4","0.004274","controller","host","HCI_EVT","14","","","","","","Rcvd Command Complete (Read Buffer Size)","2021-06-12 10:32:55,956299",""
"5","0.004502","host","controller","HCI_CMD","11","","","","","","Sent Host Buffer Size","2021-06-12 10:32:55,956527",""
"6","0.005490","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Host Buffer Size)","2021-06-12 10:32:55,957515",""
"7","0.005592","host","controller","HCI_CMD","4","","","","","","Sent Read Local Version Information","2021-06-12 10:32:55,957617",""
"8","0.006219","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (Read Local Version Information)","2021-06-12 10:32:55,958244",""
"9","0.006322","host","controller","HCI_CMD","4","","","","","","Sent Read BD ADDR","2021-06-12 10:32:55,958347",""
"10","0.006836","controller","host","HCI_EVT","13","","","","","","Rcvd Command Complete (Read BD ADDR)","2021-06-12 10:32:55,958861",""
"11","0.006912","host","controller","HCI_CMD","4","","","","","","Sent Read Local Supported Commands","2021-06-12 10:32:55,958937",""
"12","0.008188","controller","host","HCI_EVT","71","","","","","","Rcvd Command Complete (Read Local Supported Commands)","2021-06-12 10:32:55,960213",""
"13","0.008276","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-12 10:32:55,960301",""
"14","0.009520","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-12 10:32:55,961545",""
"15","0.009725","host","controller","HCI_CMD","5","","","","","","Sent Write Simple Pairing Mode","2021-06-12 10:32:55,961750",""
"16","0.064735","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Simple Pairing Mode)","2021-06-12 10:32:56,016760",""
"17","0.064943","host","controller","HCI_CMD","6","","","","","","Sent Write LE Host Supported","2021-06-12 10:32:56,016968",""
"18","0.065619","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write LE Host Supported)","2021-06-12 10:32:56,017644",""
"19","0.065700","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-12 10:32:56,017725",""
