"No.","Time","Source","Destination","Protocol","Length","Request in Frame","RF Channel","Opcode","Value","Handle","Info","Time.1","UUID"
"1","0.000000","host","controller","HCI_CMD","4","","","","","","Sent Reset","2021-06-07 15:54:38,807742",""
"2","0.002589","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Reset)","2021-06-07 15:54:38,810331",""
"3","0.002952","host","controller","HCI_CMD","4","","","","","","Sent Read Buffer Size","2021-06-07 15:54:38,810694",""
"4","0.004175","controller","host","HCI_EVT","14","","","","","","Rcvd Command Complete (Read Buffer Size)","2021-06-07 15:54:38,811917",""
"5","0.004329","host","controller","HCI_CMD","11","","","","","","Sent Host Buffer Size","2021-06-07 15:54:38,812071",""
"6","0.005374","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Host Buffer Size)","2021-06-07 15:54:38,813116",""
"7","0.005475","host","controller","HCI_CMD","4","","","","","","Sent Read Local Version Information","2021-06-07 15:54:38,813217",""
"8","0.006373","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (Read Local Version Information)","2021-06-07 15:54:38,814115",""
"9","0.006481","host","controller","HCI_CMD","4","","","","","","Sent Read BD ADDR","2021-06-07 15:54:38,814223",""
"10","0.007120","controller","host","HCI_EVT","13","","","","","","Rcvd Command Complete (Read BD ADDR)","2021-06-07 15:54:38,814862",""
"11","0.007219","host","controller","HCI_CMD","4","","","","","","Sent Read Local Supported Commands","2021-06-07 15:54:38,814961",""
"12","0.008399","controller","host","HCI_EVT","71","","","","","","Rcvd Command Complete (Read Local Supported Commands)","2021-06-07 15:54:38,816141",""
"13","0.008497","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-07 15:54:38,816239",""
"14","0.009842","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-07 15:54:38,817584",""
"15","0.010069","host","controller","HCI_CMD","5","","","","","","Sent Write Simple Pairing Mode","2021-06-07 15:54:38,817811",""
"16","0.064763","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Simple Pairing Mode)","2021-06-07 15:54:38,872505",""
"17","0.065299","host","controller","HCI_CMD","6","","","","","","Sent Write LE Host Supported","2021-06-07 15:54:38,873041",""
"18","0.066355","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write LE Host Supported)","2021-06-07 15:54:38,874097",""
"19","0.066699","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-07 15:54:38,874441",""
"20","0.068223","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-07 15:54:38,875965",""
"21","0.068678","host","controller","HCI_CMD","5","","","","","","Sent Read Local Extended Features","2021-06-07 15:54:38,876420",""
"22","0.070095","controller","host","HCI_EVT","17","","","","","","Rcvd Command Complete (Read Local Extended Features)","2021-06-07 15:54:38,877837",""
"23","0.070539","host","controller","HCI_CMD","5","","","","","","Sent Write Secure Connections Host Support","2021-06-07 15:54:38,878281",""
"24","0.072102","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Secure Connections Host Support)","2021-06-07 15:54:38,879844",""
"25","0.072545","host","controller","HCI_CMD","4","","","","","","Sent LE Read White List Size","2021-06-07 15:54:38,880287",""
"26","0.074438","controller","host","HCI_EVT","8","","","","","","Rcvd Command Complete (LE Read White List Size)","2021-06-07 15:54:38,882180",""
"27","0.074913","host","controller","HCI_CMD","4","","","","","","Sent LE Read Buffer Size [v1]","2021-06-07 15:54:38,882655",""
"28","0.076002","controller","host","HCI_EVT","10","","","","","","Rcvd Command Complete (LE Read Buffer Size [v1])","2021-06-07 15:54:38,883744",""
"29","0.076396","host","controller","HCI_CMD","4","","","","","","Sent LE Read Supported States","2021-06-07 15:54:38,884138",""
